"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","430","should display the current number of todo items","","Thu Jul 24 13:38:40 ICT 2025","passed","Thu Jul 24 13:38:40 ICT 2025","Counter","demo-todo-app.spec.ts","",""
"","4111","TC06 - Additional pages display once user logged in","","Thu Jul 24 13:38:35 ICT 2025","passed","Thu Jul 24 13:38:39 ICT 2025","","tc06-additional-pages-after-login.test.ts","",""
"","1498","should allow me to mark items as complete","","Thu Jul 24 13:38:35 ICT 2025","passed","Thu Jul 24 13:38:36 ICT 2025","Item","demo-todo-app.spec.ts","",""
"","936","has title","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:31 ICT 2025","","example.spec.ts","",""
"","2283","TC04 - Login page displays when un-logged User clicks on Book ticket tab","","Thu Jul 24 13:38:33 ICT 2025","passed","Thu Jul 24 13:38:36 ICT 2025","","tc04-unlogged-user-book-ticket-redirects-to-login.test.ts","",""
"","3430","TC08 - User cannot login with unactivated account","","Thu Jul 24 13:38:36 ICT 2025","passed","Thu Jul 24 13:38:39 ICT 2025","","tc08-login-unactivated-account.test.ts","",""
"","2646","TC07 - User can create new account","","Thu Jul 24 13:38:36 ICT 2025","failed","Thu Jul 24 13:38:38 ICT 2025","","tc07-register-new-account.test.ts","",""
"","623","should allow me to display active items","","Thu Jul 24 13:38:42 ICT 2025","passed","Thu Jul 24 13:38:43 ICT 2025","Routing","demo-todo-app.spec.ts","",""
"","2473","TC03 - User cannot log into Railway with invalid password","","Thu Jul 24 13:38:32 ICT 2025","passed","Thu Jul 24 13:38:35 ICT 2025","","tc03-login-invalid-password.test.ts","",""
"","3322","Login with valid user","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:33 ICT 2025","","login.test.ts","",""
"","31437","TC15 - User can open Book Ticket page from Timetable and see pre-filled fields","","Thu Jul 24 13:38:47 ICT 2025","broken","Thu Jul 24 13:39:18 ICT 2025","","tc15-timetable-to-booking-prefill.test.ts","",""
"","406","should clear text input field when an item is added","","Thu Jul 24 13:38:32 ICT 2025","passed","Thu Jul 24 13:38:32 ICT 2025","New Todo","demo-todo-app.spec.ts","",""
"","3359","sample homepage test","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:33 ICT 2025","","sample.test.ts","",""
"","511","should remove completed items when clicked","","Thu Jul 24 13:38:41 ICT 2025","passed","Thu Jul 24 13:38:41 ICT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","2146","Login with invalid user #3","","Thu Jul 24 13:38:38 ICT 2025","passed","Thu Jul 24 13:38:40 ICT 2025","","login.test.ts","",""
"","1858","should allow me to add todo items","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:32 ICT 2025","New Todo","demo-todo-app.spec.ts","",""
"","2352","Login with invalid user #2","","Thu Jul 24 13:38:36 ICT 2025","passed","Thu Jul 24 13:38:38 ICT 2025","","login.test.ts","",""
"","545","should save edits on blur","","Thu Jul 24 13:38:38 ICT 2025","passed","Thu Jul 24 13:38:38 ICT 2025","Editing","demo-todo-app.spec.ts","",""
"","693","complete all checkbox should update state when items are completed / cleared","","Thu Jul 24 13:38:34 ICT 2025","passed","Thu Jul 24 13:38:35 ICT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","7838","TC10 - User cannot register with mismatched confirm password","","Thu Jul 24 13:38:39 ICT 2025","failed","Thu Jul 24 13:38:47 ICT 2025","","tc10-register-mismatched-password.test.ts","",""
"","3810","TC05 - System shows message when user enters wrong password several times","","Thu Jul 24 13:38:34 ICT 2025","failed","Thu Jul 24 13:38:38 ICT 2025","","tc05-login-attempts-lockout.test.ts","",""
"","1108","get started link","","Thu Jul 24 13:38:31 ICT 2025","passed","Thu Jul 24 13:38:32 ICT 2025","","example.spec.ts","",""
"","819","should be hidden when there are no items that are completed","","Thu Jul 24 13:38:41 ICT 2025","passed","Thu Jul 24 13:38:42 ICT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","602","should highlight the currently applied filter","","Thu Jul 24 13:38:45 ICT 2025","passed","Thu Jul 24 13:38:46 ICT 2025","Routing","demo-todo-app.spec.ts","",""
"","474","should allow me to edit an item","","Thu Jul 24 13:38:37 ICT 2025","passed","Thu Jul 24 13:38:37 ICT 2025","Item","demo-todo-app.spec.ts","",""
"","438","should cancel edits on escape","","Thu Jul 24 13:38:39 ICT 2025","passed","Thu Jul 24 13:38:40 ICT 2025","Editing","demo-todo-app.spec.ts","",""
"","5471","TC01 - User can log into Railway with valid username and password","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:35 ICT 2025","","tc01-login-valid-user.test.ts","",""
"","487","should allow me to un-mark items as complete","","Thu Jul 24 13:38:36 ICT 2025","passed","Thu Jul 24 13:38:37 ICT 2025","Item","demo-todo-app.spec.ts","",""
"","474","should display the correct text","","Thu Jul 24 13:38:40 ICT 2025","passed","Thu Jul 24 13:38:41 ICT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","7653","TC11 - User cannot register with empty password or PID","","Thu Jul 24 13:38:39 ICT 2025","failed","Thu Jul 24 13:38:46 ICT 2025","","tc11-register-empty-password-pid.test.ts","",""
"","2317","Login with invalid user #1","","Thu Jul 24 13:38:33 ICT 2025","passed","Thu Jul 24 13:38:36 ICT 2025","","login.test.ts","",""
"","3417","TC15 - User can open Book Ticket page from Timetable","","Thu Jul 24 13:39:11 ICT 2025","passed","Thu Jul 24 13:39:14 ICT 2025","","timetable-to-booking.test.ts","",""
"","31572","TC09 - User can change password after registration and activation","","Thu Jul 24 13:38:39 ICT 2025","broken","Thu Jul 24 13:39:10 ICT 2025","","tc09-change-password.test.ts","",""
"","31435","TC16 - User can cancel a booked ticket and it disappears from My Ticket","","Thu Jul 24 13:38:47 ICT 2025","broken","Thu Jul 24 13:39:19 ICT 2025","","tc16-cancel-ticket.test.ts","",""
"","31491","TC13 - User cannot reset password with mismatched passwords","","Thu Jul 24 13:38:40 ICT 2025","broken","Thu Jul 24 13:39:12 ICT 2025","","tc13-password-reset-mismatched-passwords.test.ts","",""
"","547","should remove the item if an empty text string was entered","","Thu Jul 24 13:38:39 ICT 2025","passed","Thu Jul 24 13:38:39 ICT 2025","Editing","demo-todo-app.spec.ts","",""
"","506","should allow me to clear the complete state of all items","","Thu Jul 24 13:38:33 ICT 2025","passed","Thu Jul 24 13:38:34 ICT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","518","should append new items to the bottom of the list","","Thu Jul 24 13:38:32 ICT 2025","passed","Thu Jul 24 13:38:33 ICT 2025","New Todo","demo-todo-app.spec.ts","",""
"","869","should allow me to display completed items","","Thu Jul 24 13:38:44 ICT 2025","passed","Thu Jul 24 13:38:45 ICT 2025","Routing","demo-todo-app.spec.ts","",""
"","31347","TC14 - User can book one ticket after registration and activation","","Thu Jul 24 13:38:46 ICT 2025","broken","Thu Jul 24 13:39:17 ICT 2025","","tc14-book-one-ticket.test.ts","",""
"","843","should respect the back button","","Thu Jul 24 13:38:43 ICT 2025","passed","Thu Jul 24 13:38:44 ICT 2025","Routing","demo-todo-app.spec.ts","",""
"","531","should trim entered text","","Thu Jul 24 13:38:38 ICT 2025","passed","Thu Jul 24 13:38:39 ICT 2025","Editing","demo-todo-app.spec.ts","",""
"","462","should allow me to mark all items as completed","","Thu Jul 24 13:38:33 ICT 2025","passed","Thu Jul 24 13:38:33 ICT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","682","should allow me to display all items","","Thu Jul 24 13:38:45 ICT 2025","passed","Thu Jul 24 13:38:45 ICT 2025","Routing","demo-todo-app.spec.ts","",""
"","483","should persist its data","","Thu Jul 24 13:38:42 ICT 2025","passed","Thu Jul 24 13:38:42 ICT 2025","Persistence","demo-todo-app.spec.ts","",""
"","31474","TC12 - User cannot reset password with blank token","","Thu Jul 24 13:38:39 ICT 2025","broken","Thu Jul 24 13:39:11 ICT 2025","","tc12-password-reset-blank-token.test.ts","",""
"","533","should hide other controls when editing","","Thu Jul 24 13:38:37 ICT 2025","passed","Thu Jul 24 13:38:38 ICT 2025","Editing","demo-todo-app.spec.ts","",""
"","4204","TC02 - User can't login with blank Username textbox","","Thu Jul 24 13:38:30 ICT 2025","passed","Thu Jul 24 13:38:34 ICT 2025","","tc02-login-blank-username.test.ts","",""
